sector,subsector,segment,subsegment,asset,value,hex,unchanged,modified,added,deleted
Energy,Petroleum Facility,Petroleum Product Storage,,Underground Petroleum Gas Storage,1,#FFFF00,,1,,
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,Military End-User Petroleum Product Storage,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,End-User Petroleum Product Storage,Non-Military End-User Petroleum Product Storage,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Bulk Plant,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Land-based Bulk Terminal,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Bulk Storage,Petroleum Product Marine Bulk Terminal,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,Petroleum Product Storage Facility for Retail Distribution ,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,,Heating Oil Dealer Facility,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,,Liquefied Petroleum Gas (LPG) Dealer Facility,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Storage,,Motor Vehicle Fueling Station,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,Petroleum Product Handling Port,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Marine Transport Facility,Petroleum Product Tanker,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Control Center,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Pumping Station,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Pipeline,Petroleum Product Pipeline Segment,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,Petroleum Rail Transport Route,1,#008000,,,1,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Rail Transport,Railroad Petroleum Tank Car,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,Tanker Truck,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Product Transport,Petroleum Product Road Transport,Tanker Truck Loading Rack,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Supporting Facility,,,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Supporting Facility,,Crude Oil Market,1,#FFFFFF,1,,,
Energy,Petroleum Facility,Petroleum Supporting Facility,,Petroleum Product Market,1,#FFFFFF,1,,,
